Date,prediction_score,prediction_label,Close,cumulative_profit
2025-01-14,0.3781,hold,233.57085,252.24102025648992
2025-01-15,0.5445,sell,232.4548,252.24102025648992
2025-01-16,0.5203,hold,237.02856,252.24102025648992
2025-01-17,0.4481,sell,227.45258,252.24102025648992
2025-01-21,0.3952,hold,229.16647,252.24102025648992
2025-01-22,0.4422,hold,221.85245,252.24102025648992
2025-01-23,0.4332,sell,223.03822,252.24102025648992
2025-01-24,0.4646,sell,222.86885,252.24102025648992
2025-01-27,0.59,sell,221.99194,252.24102025648992
2025-01-28,0.3709,hold,229.0469,252.24102025648992
2025-01-29,0.5258,buy,237.41718,163.72346357604627
2025-01-30,0.5291,sell,238.5133,163.72346357604627
2025-01-31,0.6,buy,236.74956,171.11822154996614
2025-02-03,0.62,buy,235.16519,171.11822154996614
2025-02-04,0.4446,hold,227.20345,171.11822154996614
2025-02-05,0.5528,hold,231.97652,171.11822154996614
2025-02-06,0.6368,hold,231.64767,171.11822154996614
2025-02-07,0.546,hold,232.39502,171.11822154996614
2025-02-10,0.5137,sell,226.8248,135.65211788099487
2025-02-11,0.5154,sell,227.09412,135.65211788099487
2025-02-12,0.6201,sell,232.05199,135.65211788099487
2025-02-13,0.4953,buy,236.29161,76.8811654319976
2025-02-14,0.4551,hold,240.94023,76.8811654319976
2025-02-18,0.6141,hold,244.00275,76.8811654319976
2025-02-19,0.4855,sell,243.87306,76.8811654319976
2025-02-20,0.727,sell,244.27208,76.8811654319976
2025-02-21,0.6452,sell,245.22975,76.8811654319976
2025-02-24,0.4287,buy,244.95042,70.82548778933865
2025-02-25,0.4116,sell,246.49664,70.82548778933865
2025-02-26,0.5998,sell,246.43678,70.82548778933865
2025-02-27,0.6384,sell,239.7731,70.82548778933865
2025-02-28,0.4153,hold,236.72057,70.82548778933865
2025-03-03,0.3737,hold,241.24948,70.82548778933865
2025-03-04,0.4567,sell,237.44878,70.82548778933865
2025-03-05,0.3735,hold,235.35391,70.82548778933865
2025-03-06,0.6324,sell,235.16438,70.82548778933865
2025-03-07,0.6953,sell,234.75539,70.82548778933865
2025-03-10,0.4385,buy,238.48625,106.5637867296754
2025-03-11,0.6009,buy,226.92455,106.5637867296754
2025-03-12,0.4421,sell,220.30075,77.3743724807452
2025-03-13,0.4958,buy,216.45018,77.3743724807452
2025-03-14,0.4963,buy,209.168,77.3743724807452
2025-03-17,0.4106,sell,212.9687,79.46053666147579
2025-03-18,0.794,sell,213.47746,79.46053666147579
2025-03-19,0.758,sell,212.17067,79.46053666147579
2025-03-20,0.5974,buy,214.71443,61.67693275447614
2025-03-21,0.5962,buy,213.57722,61.67693275447614
2025-03-24,0.4423,hold,217.73705,61.67693275447614
2025-03-25,0.4934,buy,220.19102,61.67693275447614
2025-03-26,0.424,buy,223.20366,61.67693275447614
2025-03-27,0.5708,buy,220.98907,61.67693275447614
2025-03-28,0.5369,sell,223.30342,132.27102543063805
2025-03-31,0.4476,buy,217.36794,132.27102543063805
2025-04-01,0.4202,buy,221.58762,132.27102543063805
2025-04-02,0.4214,sell,222.64503,161.3203056699875
2025-04-03,0.5756,hold,223.34332,161.3203056699875
